Transect,Meter,Zone,Ovigerous,Non.ovigerous,Recruits
1,1,Dry,0,0,0
1,2,Dry,0,0,0
1,3,Dry,0,0,0
1,4,Dry,0,0,1
1,5,Swash,0,0,0
1,6,Swash,0,2,0
1,7,Swash,0,2,0
1,8,Swash,0,11,5
1,9,Swash,1,3,4
1,10,Swash,1,1,0
2,1,Dry,0,0,0
2,2,Dry,0,0,0
2,3,Dry,0,0,0
2,4,Dry,0,0,0
2,5,Swash,0,1,0
2,6,Swash,0,7,0
2,7,Swash,0,6,0
2,8,Swash,0,2,0
2,9,Swash,0,17,0
2,10,Swash,0,0,0
3,1,Dry,0,0,0
3,2,Dry,0,0,0
3,3,Dry,0,0,0
3,4,Dry,0,0,0
3,5,Swash,0,3,0
3,6,Swash,0,3,0
3,7,Swash,0,11,0
3,8,Swash,0,2,0
3,9,Swash,0,2,0
3,10,Swash,0,2,0
4,1,Dry,0,1,0
4,2,Dry,0,0,0
4,3,Dry,0,0,0
4,4,Dry,0,0,0
4,5,Swash,0,0,0
4,6,Swash,0,1,2
4,7,Swash,0,0,9
4,8,Swash,0,5,3
4,9,Swash,0,13,7
4,10,Swash,0,0,0
5,1,Dry,0,0,0
5,2,Dry,0,0,0
5,3,Dry,0,1,0
5,4,Dry,0,0,0
5,5,Swash,0,0,0
5,6,Swash,0,1,1
5,7,Swash,0,3,9
5,8,Swash,0,3,2
5,9,Swash,0,0,0
5,10,Swash,0,1,0